Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
2352,1134,2.3855076,980,337.22,27.04,63.8,6.17,159.3,6.17,20.16,1.22,35.2,11.83,2.45,0.26,0.41,1.321813141,Other,28.76712,120.09514,6404.73,6404.73,17.500737704918034
2353,1135,2.6362288,184,91.24,25.37,25.53,8.54,60.67,6.92,8.97,1.41,21.44,9.44,0.84,0.19,0.35,5.313496281,Other,28.811396,120.257059,6404.73,6404.73,17.500737704918034
2354,1141,1.27062,31.38,104.01,14.31,43.69,8.41,110.04,7.49,15.28,0.33,20.84,10.3,2.97,0.24,0.45,5.016722408,Other,30.16292,119.21791,6893.89,6893.89,16.164234972677594
2355,1175,46.6193012,16352.92,148.25,8.69,56.75,0.75,71.15,2,19.45,0.46,22.74,8.43,2.24,0.2,0.25,1.791344225,Other,30.15586,120.89742,6294.41,6294.41,17.802158469945354
2356,1203,6.38568,5568.77,284,18.75,143.71,10.4,143.97,10.07,18.15,0.54,29.79,10.05,2.52,0.35,0.26,0.980207352,Other,29.49361,121.95698,6015.72,6015.719999999999,18.56360655737705
2357,1273,10.745608,4508.07,100.14,9.16,43.19,0.52,167.28,3.2,8.81,0.13,10.95,6.45,1.26,0.33,0.22,2.418113871,Other,33.20343,116.56814,6742.4,6742.4,16.578142076502733
2358,1274,0.3753216,246.1,114.15,18.75,47.09,7.18,110.48,11.93,22.2,1.38,30.58,6.37,2.47,0.35,0.24,2.51572327,Other,33.746872,115.704532,6716.74,6716.74,16.648251366120217
2359,1284,2.34576,1058.25,111.51,9.21,46.9,3.88,74.8,5.27,12.27,0.59,16.01,6.1,2.48,0.27,0.38,3.714565005,Other,32.92575,117.71833,6826.16,6826.16,16.34928961748634
2360,1323,89.6172992,72258.4,213.6,16.82,86.43,2.79,145.73,4.67,23.51,0.25,33.7,3.91,3.74,0.1,0.31,1.57536335,Other,31.837388,117.31169,6666.29,6666.29,16.78609289617486
2361,1363,11.6394584,3809.6,144.4,22.68,49.98,7.66,123.05,6.71,12.29,0.88,16.73,8.28,0.87,0.09,0.23,1.889582649,Other,31.759211,118.374443,6743.54,6743.539999999999,16.57502732240437
2362,1384,0.359104,1.25,72.71,11.39,24.29,3.28,32.75,8.04,11.1,0.67,13.22,5.3,1.48,0.48,0.42,6.849315068,Other,31.06807,119.56201,6590.24,6590.24,16.993879781420766
2363,1439,3.6610508,2151,161.69,35.53,46.52,11.78,430.55,23.22,30.89,10.77,42.02,18.53,1.73,0.45,0.48,3.804692454,Other,27.9460199,116.76103,5876.06,5876.06,18.94519126
2364,1479,2.8879636,351.57,137.41,15.34,41.92,5.42,135.21,8.1,12.28,0.72,26.66,6.96,1.27,0.31,0.23,1.884164823,Other,27.895566,115.455573,5892.63,5892.63,18.89991803278689
